Product name,Predicted reaction number,Predicted reaction Yeast-MetaTwin ID,Predicted reaction,Predicted genes of reaction
L-tyrosine,30,rxn1931,L-tyrosine + 3-oxopropanoate => 3-(4-hydroxyphenyl)pyruvate + beta-alanine + H+,YHR208W or YLR438W or YIL087C or YER152C or YDR111C or YJR148W or YNR033W or YIL116W or YGR243W or YHR137W or YMR084W or YNR058W or YMR085W or YKL104C or YER137C or YHR162W or YOL140W or YGL202W or YKL106W or YFL030W or YLR089C or YLR201C or YLR027C or YJL060W or YOR184W or YGR019W or YLR333C or YDR204W
L-tyrosine,31,rxn2044,L-tyrosine => ammonium + trans-4-coumaric acid,YGL196W or YER086W or YCL064C or YKL218C
L-tyrosine,32,rxn2076,glyoxylate + L-tyrosine => 3-(4-hydroxyphenyl)pyruvate + L-glycine,YHR208W or YLR438W or YIL087C or YER152C or YDR111C or YJR148W or YNR033W or YIL116W or YGR243W or YHR137W or YMR084W or YNR058W or YMR085W or YKL104C or YER137C or YHR162W or YOL140W or YGL202W or YKL106W or YFL030W or YLR089C or YLR201C or YLR027C or YJL060W or YOR184W or YGR019W or YLR333C or YDR204W
L-tyrosine,33,rxn2173,H+ + L-tyrosine => ammonium + trans-4-coumaric acid,YGL196W or YER086W or YCL064C or YKL218C
L-tyrosine,34,rxn2229,2-acetamido-5-oxopentanoate + L-tyrosine => 3-(4-hydroxyphenyl)pyruvate + N(2)-acetyl-L-ornithine,YHR208W or YLR438W or YIL087C or YER152C or YDR111C or YJR148W or YNR033W or YIL116W or YGR243W or YHR137W or YMR084W or YNR058W or YMR085W or YKL104C or YER137C or YHR162W or YOL140W or YGL202W or YKL106W or YFL030W or YLR089C or YLR201C or YLR027C or YJL060W or YOR184W or YGR019W or YLR333C or YDR204W
L-tyrosine,35,rxn2230,L-allysine + L-tyrosine => 3-(4-hydroxyphenyl)pyruvate + L-lysine,YHR208W or YLR438W or YIL087C or YER152C or YDR111C or YJR148W or YNR033W or YIL116W or YGR243W or YHR137W or YMR084W or YNR058W or YMR085W or YKL104C or YER137C or YHR162W or YOL140W or YGL202W or YKL106W or YFL030W or YLR089C or YLR201C or YLR027C or YJL060W or YOR184W or YGR019W or YLR333C or YDR204W
L-tyrosine,36,rxn2231,L-tyrosine + N4-Acetylaminobutanal => 3-(4-hydroxyphenyl)pyruvate + N-acetylputrescine,YHR208W or YLR438W or YIL087C or YER152C or YDR111C or YJR148W or YNR033W or YIL116W or YGR243W or YHR137W or YMR084W or YNR058W or YMR085W or YKL104C or YER137C or YHR162W or YOL140W or YGL202W or YKL106W or YFL030W or YLR089C or YLR201C or YLR027C or YJL060W or YOR184W or YGR019W or YLR333C or YDR204W
L-tyrosine,37,rxn2232,L-glutamic 5-semialdehyde + L-tyrosine => 3-(4-hydroxyphenyl)pyruvate + ornithine,YHR208W or YLR438W or YIL087C or YER152C or YDR111C or YJR148W or YNR033W or YIL116W or YGR243W or YHR137W or YMR084W or YNR058W or YMR085W or YKL104C or YER137C or YHR162W or YOL140W or YGL202W or YKL106W or YFL030W or YLR089C or YLR201C or YLR027C or YJL060W or YOR184W or YGR019W or YLR333C or YDR204W
L-tyrosine,38,rxn2541,L-tyrosine + 3-oxopropanoate => 3-(4-hydroxyphenyl)pyruvate + beta-alanine,YHR208W or YLR438W or YIL087C or YER152C or YDR111C or YJR148W or YNR033W or YIL116W or YGR243W or YHR137W or YMR084W or YNR058W or YMR085W or YKL104C or YER137C or YHR162W or YOL140W or YGL202W or YKL106W or YFL030W or YLR089C or YLR201C or YLR027C or YJL060W or YOR184W or YGR019W or YLR333C or YDR204W
L-tyrosine,39,rxn2554,L-tyrosine + (S)-Methylmalonate semialdehyde => 3-(4-hydroxyphenyl)pyruvate + 3-aminoisobutyrate,YHR208W or YLR438W or YIL087C or YER152C or YDR111C or YJR148W or YNR033W or YIL116W or YGR243W or YHR137W or YMR084W or YNR058W or YMR085W or YKL104C or YER137C or YHR162W or YOL140W or YGL202W or YKL106W or YFL030W or YLR089C or YLR201C or YLR027C or YJL060W or YOR184W or YGR019W or YLR333C or YDR204W
L-tyrosine,40,rxn3190,2-oxoadipic acid + L-tyrosine => 3-(4-hydroxyphenyl)pyruvate + L-2-aminoadipate,YHR208W or YLR438W or YIL087C or YER152C or YDR111C or YJR148W or YNR033W or YIL116W or YGR243W or YHR137W or YMR084W or YNR058W or YMR085W or YKL104C or YER137C or YHR162W or YOL140W or YGL202W or YKL106W or YFL030W or YLR089C or YLR201C or YLR027C or YJL060W or YOR184W or YGR019W or YLR333C or YDR204W
